id,title,text,price,slug,category_id,image
11,Венерина Мухоловка,Мечтали ли вы когда-нибудь о встрече с природой прямо у вас дома или в офисе? Теперь это возможно с Венериной «Мухоловкой». Уникальная адаптация и привлекательные ловушки для насекомых сделают ваше пространство еще более удивительным и живым. Порадуйте себя и приобретите эту прекрасную растительность уже сегодня!,899,venerina-muholovka,11,flowers_images/venerina_muholovka.png
12,Антуриум Спирит,"Красивое растение Антуриум Спирит привнесет экзотический шарм в ваш дом или офис. Своими яркими и сочными листьями оно напоминает цветок, но на самом деле является коллекционным растением. Его привлекательность заключается в множестве ярких соцветий, которые украшают растение круглый год. Антуриумы могут процветать как на ярком солнце, так и в тени, делая их универсальным выбором для любого интерьера. Это растение также является знаком любви и страсти, что",1799,antrium-spirit,12,flowers_images/antrium_spirit.png
13,Эхеверия Линдсиана,"Эхеверия Линдсиана — относительно простое в уходе растение, что делает его отличным выбором как для опытных, так и для начинающих любителей суккулентов. Предпочитает яркий, непрямой солнечный свет и хорошо дренированную почву. Полив следует проводить умеренно, давая почве полностью просохнуть между поливами. При правильном уходе это растение может расти как в помещении, так и на открытом воздухе, добавляя нотку естественной красоты в любое пространство. Закажите сейчас и добавьте Эхеверию Линдсиана в свою коллекцию!",749,eheveria-lindsiana,1,flowers_images/eheveria_lindsiana.jpg
14,Алоэ Вера,"Алоэ Вера - представляет собой небольшое суккулентное растение, принадлежащее к роду Aloe. Это медленно растущее без стебельное растение, которое обычно достигает до 15 см в высоту и до 20 см в ширину. Листья от зеленого до сине-зеленого цвета, треугольной формы и покрыты небольшими белыми бугорками. Края листьев покрыты мелкими зубчиками или шипами, а кончики часто загнуты. Летом он образует гроздья оранжево-красных цветов на высоких тонких стеблях, высота которых может достигать 20 дюймов (50 см). Это растение известно своей декоративностью и может выращиваться как в помещении, так и на открытом воздухе в теплом климате. Он требует хорошо дренированной почвы и периодического полива, что делает его неприхотливым растением для начинающих садоводов.",399,aloe-vera,1,flowers_images/aloe_vera.jpg
15,Каланхое Тирсифлора,"Каланхое Тирсифлора , потрясающий и яркий суккулент, который добавит нотку естественной красоты и устойчивости любому пространству. Это необыкновенное растение демонстрирует толстые весловидные листья с поразительным голубовато-зеленым оттенком и яркими красными краями, создавая визуально очаровательную экспозицию. Каланхоэ Тирсифлора, выращенное в горшке для удобства, процветает при минимальном уходе, что делает его отличным выбором как для внутреннего, так и для открытого грунта. Наслаждайтесь уникальной формой и потрясающей окраской этого сорта каланхоэ, поскольку он привносит ощущение элегантности пустыни и нотку ботанического очарования в декор вашего дома или сада.",399,kalanhoe-tirsiflora,1,flowers_images/kalanhoe_tirsiflora.jpg
16,Крассула Овата Сансет,"Крассула Овата Сансет, представляет собой завораживающее суккулентное растение, демонстрирующее очаровательную смесь цветов. Его толстые мясистые листья имеют яркие оттенки оранжевого, розового и желтого цветов, создавая потрясающий градиент, напоминающий закат. Края листьев окрашены в красноватый оттенок, что делает его еще более привлекательным. Этот компактный суккулент растет кустистым, ветвящимся образом, образуя густую и привлекательную листву. Sunset Jade известен своей устойчивостью и способностью расти в различных условиях освещения, что делает его идеальным растением для выращивания в помещении или на открытом воздухе. Его неприхотливость в уходе и способность переносить засуху делают его подходящим и для начинающих садоводов. Благодаря своей уникальной окраске и компактному росту Crassula ovata ‘Sunset’ обязательно добавит тепла и красоты любой коллекции суккулентов или саду.",1299,krassuela-ovata-sanset,1,flowers_images/krassuela_ovata_sanset.jpg
17,Сансевиерия Зейланика,"Сансевиерия Зейланика, является выносливым, вечнозеленым растением, произрастающим на Шри-Ланке. Это растение принадлежит к семейству сансевиерий и высоко ценится за декоративность и способность очищать воздух. Листья Зейланики растут в виде розетки, длинные, узкие, темно-зеленого цвета с белыми полосами по всей длине листа. Это растение не требует особого ухода и может выжить в широком диапазоне условий выращивания, что делает его популярным выбором как для внутреннего, так и для открытого грунта. Его свойства очищать воздух делают его идеальным растением для дома и офиса, поскольку оно помогает удалять токсины из воздуха. Благодаря привлекательному внешнему виду и неприхотливости в уходе Сансевиерия Зейланика станет прекрасным дополнением к любой коллекции растений.",699,sensevieria-zeilanika,1,flowers_images/sensevieria_zeilanika.jpg
18,Синокрассула Юннаньская,"Синокрассула Юннаньская – экзотический суккулент, напоминающий ежика! Это необычное растение из семейства Толстянковые родом из провинции Юньнань южного Китая и севера Бирмы. При выращивании в горшках обычно не превышает 10 см в высоту, вырастая до ширины около 20 см. Почковидные, темные, плотно расположенные листья образуют плотные декоративные куртины. Дополнительным достоинством растения являются его плотные красно-белые соцветия, достигающие 10-15 см в высоту.",499,sinokrassula-ynnanskaya,1,flowers_images/sinokrassula_ynnanskaya.jpg
19,Хедера Хеликс Вандер,"Хедера Хеликс Вандер, также известная как Wonder Ivy или English Ivy, является популярным вечнозеленым вьющимся растением, известным своей декоративной листвой. У него темно-зеленые глянцевые листья с белыми прожилками, которые образуют характерный привлекательный рисунок. Это растение относительно быстро растет, и его можно научить взбираться по стенам или решеткам, что делает его отличным выбором для озеленения внутренних и наружных пространств. Это также неприхотливое растение, устойчивое к широкому спектру условий, включая слабое освещение и колебания температуры, что делает его отличным вариантом для начинающих или тех, у кого нет большого пальца.",1899,hedera-heliks-vander,2,flowers_images/hedera_heliks_vander.png
20,Сциндапсус Пиктус Сильвер Анна,"Украсьте свое пространство с помощью Scindapsus Silver Ann! Его потрясающие листья с серебристым рисунком привносят элегантность и прикосновение природы в помещение. Закажите прямо сейчас, чтобы добавить нотку ботанической красоты в ваш дом.",2699,scindaptus-pictus-silver_anna,2,flowers_images/scindaptus_pictus_silver_anna.jpg
21,Эпипремнум Голден Потос подвесной,"Украсьте свой офис, квартиру или дом превосходным многолетним ампельным растением — Эпипремнум Голден Потос! Яркие салатово-желтые атласные листья в форме сердца сделают ваше пространство уютным и стильным. Вы можете направить усики растения расти вокруг дверных проемов, вверх по стенам и через потолок или оставить его свисать из высокого или подвесного горшка. Как бы вы ни выбрали, Эпипремнум Голден Потос будет прекрасно смотреться!",2399,scindapsus-golden-potos,2,flowers_images/scindapsus_golden_potos.jpg
22,Бонсай Пинус сосна,"Бонсай Пинус, также известный как японская черная сосна, является потрясающим и уникальным деревом бонсай, которое пользуется большим спросом у энтузиастов. Это медленнорастущее вечнозеленое дерево с темно-зелеными иголками и элегантным искривленным стволом, который со временем может принимать удивительные формы. Кора дерева темная и глубоко трещиноватая, что придает дереву интересную текстуру и характер. Его прочный, естественный внешний вид делает его фаворитом тех, кто ценит красоту диких пейзажей. Bonsai Pinus — отличный выбор для тех, кто хочет создать спокойную и безмятежную обстановку в своем доме или офисе.",15899,bonsai-pintus-sosna,3,flowers_images/bonsai_sosna.jpg
23,Бонсай Метасеквойя «Лес»,"Бонсай Метасеквойя «Лес» также известная как бонсай из красного дерева на рассвете, представляет собой миниатюрную версию быстрорастущего листопадного дерева Metasequoia glyptostroboides. В версии бонсай сохранились характерные тонкие зеленые иголки дерева, которые осенью становятся медно-оранжевыми, а затем опадают, оставляя характерный древесный ствол открытым. Бонсай из Метасеквойи является популярным выбором среди любителей Бонсай из-за его приспособляемости, долговечности и яркого внешнего вида. При надлежащем уходе и уходе Бонсай из Метасеквойи может жить много лет, обеспечивая очаровательное и уникальное дополнение к любому внутреннему или внешнему пространству.",8499,bonsai-metasecvoya,3,flowers_images/bonsai_metasecvoya.jpg
24,Бонсай Дзельква,"Бонсай Дзельква — это миниатюрная версия высокого и величественного дерева Зелкова, произрастающего в Азии. Это популярный вид дерева бонсай из-за его маленьких листьев, нежных ветвей и красивой осенней листвы. Бонсай Дзельква имеет прямой ствол, который постепенно сужается к вершине, придавая ему классический силуэт бонсай. Кора насыщенного темно-коричневого цвета с грубой текстурой, а листья маленькие, овальной формы с зубчатыми краями. Дзельква— выносливое дерево, способное выдерживать широкий диапазон температур и относительно простое в уходе, что делает его отличным выбором как для начинающих, так и для опытных любителей бонсай.",5899,bonsai-dzelkva,3,flowers_images/bonsai_dzelkva.jpg
25,Азалия бонсай,"Азалия бонсай — потрясающе красивое и нежное комнатное растение, которое станет отличным дополнением к любому дому или офису. Это компактное растение, которое можно выращивать в горшках и контейнерах различной формы и размера. Наша азалия бонсай поставляется в горшках в высококачественном керамическом горшке, что делает ее идеальным выбором для тех, кто ищет простое в уходе растение.",8699,bonsai-azalia,3,flowers_images/bonsai_azalia.jpg
26,Бонсай Илекс Крената,"Бонсай Илекс, также известный как японский падуб, является популярным видом дерева для выращивания бонсай. Его маленькие глянцевые листья и густая листва делают его привлекательным выбором для создания миниатюрных пейзажей. Бонсай Илекс — это медленнорастущее дерево с компактным, густым внешним видом, которое может достигать 1 метра в высоту, когда полностью созреет. Листья обычно зеленые, овальной формы, с зубчатым краем, весной на них появляются маленькие белые цветы. При надлежащем уходе Бонсай Илекс может жить много лет, что делает его достойным дополнением к любой коллекции бонсай.",6299,bonsai-ileks-krenata,3,flowers_images/bonsai_ileks_krenata.jpg
27,Ананас Чампака,"Ананас Чампака, представляет собой тропическое растение, принадлежащее к семейству Бромелиевых. Это небольшое растение, которое вырастает до 60 см в высоту и 60 см в ширину. Его листья узкие, мечевидные, растут в виде розетки. Листва зеленая с белыми отметинами, образующими симметричный узор. Когда он достигает зрелости, он дает небольшой съедобный плод ананаса, сладкий и сочный. Растение не требует особого ухода и за ним легко ухаживать, что делает его идеальным дополнением любого внутреннего сада или патио.",2399,ananas-champaka,4,flowers_images/ananas_champaka.jpg
28,Криптантус Бивитантус,"Криптантусы, также известные как земные звезды, являются разновидностью бромелиевых, произрастающих в Южной Америке. Эти маленькие растения в форме розетки ценятся за их красочную и сложную листву, которая часто представляет собой сочетание полос, точек и полос оттенков зеленого, красного, розового и пурпурного. Криптантусы обычно выращивают как комнатные растения, они хорошо себя чувствуют при ярком непрямом свете и хорошо дренированной почве. За ними относительно легко ухаживать, и они станут прекрасным дополнением к любой коллекции растений благодаря своему уникальному и привлекательному внешнему виду.",499,kriptanus_-bivitanus,4,flowers_images/kriptanus_bivitanus.jpg
29,Эхмея Фасциата Примера,"Эхмея Фасциата Примера — это потрясающее тропическое растение, которое добавляет нотку элегантности в любой интерьер. С его блестящими серебристо-зелеными листьями и розовыми прицветниками, которые распускаются нежными синими или фиолетовыми цветами, это эффектное растение, за которым легко ухаживать. Это растение известно своими очищающими воздух свойствами, что делает его отличным дополнением к любому жилому или рабочему пространству. Его уникальная форма и потрясающие цветы делают его идеальным акцентом в любой комнате. Привнесите нотку тропиков в свой дом или офис с Эхмея Фасциата.",2699,ehmeya-fasciata-primera,4,flowers_images/ehmeya_fasciata_primera.jpg
30,Седум Буррито,"Седум Буррито «Sedum Buritto» — исключительно впечатляющий суккулент родом из Мексики. Встречается он и в умеренном климате — там встречается в основном в расщелинах скал. Его свисающие побеги, густо покрытые мясистыми цилиндрическими листьями сизо-зеленого приглушенного цвета, создают эффектные каскады. В возрасте, во время цветения, на концах побегов появляются мелкие нежные цветки розовой или красной окраски. Суккулентное растение, очень снисходительное к забывчивым, прозвали «железным растением» из-за его беспрецедентной стойкости. Прекрасно переносит длительные нехватки воды, быстро разрастается, со временем образуя длинные «косы» с декоративными листьями.",499,sedum-burrito,5,flowers_images/sedum_burrito.png
31,Блехнум Гиббум,"Блехнум, также известный как Блехнум Сильвер Леди, представляет собой поразительный вид папоротника, который происходит из тропических регионов, таких как Гавайи, Фиджи и Самоа. Это компактный папоротник с характерной серебристо-серой окраской на нижней стороне листьев. Листья Блехнум Сильвер Леди длинные и изогнутые, с кожистой текстурой, которая придает ему уникальный внешний вид. За этим видом папоротника легко ухаживать, и его можно выращивать в различных условиях, в том числе в помещении и на открытом воздухе. Он предпочитает хорошо дренированную почву и полутень, что делает его отличным выбором для тропического или субтропического сада или в качестве акцентного растения в комнате.",1199,blehnum-gibbum,5,flowers_images/blehnum_gibbum.png
32,Нолина Рекурвата,"Нолина Рекурвата, широко известная как «конский хвост» или «слоновья нога», представляет собой уникально выглядящее растение, принадлежащее к семейству Asparagaceae. Он произрастает в засушливых районах Мексики, где в дикой природе может вырасти до 30 футов в высоту. У растения характерная выпуклая основа, из-за которой оно получило название «слоновья нога», а его длинные узкие листья изящно ниспадают каскадом с верхушки ствола, напоминая конский хвост. Листья зеленые и кожистые, слегка скрученные, могут достигать 6 футов в длину. Растение является популярным выбором для выращивания в помещении из-за простоты ухода, устойчивости к слабому освещению и интересного внешнего вида.",1399,nolina-rekurvata,5,flowers_images/nolina_rekurvata.png
33,Асплениум Антикум Хуррикан,"Асплениум Антикум Хуррикан — элегантное растение имеет великолепные зеленые листья с уникальной белой пестротой, которые кружатся повсюду, напоминая закрученные ветры урагана. Эта тропическая красавица, также известная как папоротник «Птичье гнездо Виктории», идеально подходит для придания естественной изысканности любому помещению. За папоротником Асплениум Антикум Хуррикан легко ухаживать, и он может расти в различных условиях освещения, что делает его идеальным выбором как для начинающих, так и для опытных цветоводов. Не упустите возможность добавить этот потрясающий папоротник в свою коллекцию!",2399,aspelenium-antikum-hurrican,5,flowers_images/aspelenium_antikum_hurrican.png
34,Стрелиция Регина,"Стрелиция Регина, также известная как Райская птица или цветок журавля, представляет собой поразительное тропическое растение, произрастающее в Южной Африке. Он назван в честь королевы Англии Шарлотты Мекленбург-Стрелицкой. Растение имеет большие, глянцевые, вечнозеленые листья, которые образуют комок у основания растения, и высокие прочные стебли, которые могут достигать до 150 см в высоту. Яркие оранжево-голубые цветы напоминают голову птицы и могут цвести круглый год при оптимальных условиях. Стрелиция Регина является популярным выбором для садов, а также для внутреннего и наружного озеленения благодаря своему уникальному и экзотическому внешнему виду. Для нормального роста требуется умеренный полив и много яркого непрямого света.",1299,strelizia-regina,5,flowers_images/strelizia_regina.png
35,Нертера Гранаденсис,"Нертера Гранаденсис Астрид — прекрасное растение для создания уюта и комфорта в вашем доме. Это красивое многолетнее растение с зелеными листьями и яркими оранжевыми ягодами.  Нертера Гранаденсис Астрид, также известная как «кокосовое дерево» или «красная ягода», идеально подходит для декорирования интерьера в любом стиле. Её красные ягоды не только украшают растение, но и служат прекрасным дополнением к любому декору.  Это растение любит яркое, но размытое светлое освещение. Не стоит держать его на прямом солнце, но и теневыносливо оно не является. Поливайте Нертеру Гранаденсис Астрид регулярно, но не заливайте, и поддерживайте влажность воздуха в помещении.  Нертера Гранаденсис Астрид легко ухаживать, и она может быть отличным дополнением к вашей коллекции комнатных растений. Приобретайте этот прекрасный декоративный элемент уже сегодня и улучшайте свой дом вместе с ним!",899,nertera-granadensis,5,flowers_images/nertera_granadensis.png
36,Фиттония Вайт Ангел,"Фиттонию Белый Ангел, неземную красоту, которая очаровывает своими нежными белыми прожилками, танцующими на пышных зеленых листьях. Это потрясающее растение прекрасно себя чувствует при рассеянном свете от умеренного до яркого, что делает его идеальным для освещения любого помещения. Благодаря своим компактным размерам и низким температурам характер ухода, Фиттония Вайт Ангел — отличный выбор как для начинающих, так и для опытных энтузиастов растений.Его уникальная пестрота добавляет нотку элегантности и спокойствия в любую комнату.поднимите свою коллекцию растений с очаровательным очарованием Фиттонии Вайт Ангел и наслаждайтесь безмятежностью, которую она приносит к тебе домой.",699,fittoniya-yait-angel,5,flowers_images/fittoniya_yait_angel.png
37,Фиттония Ред Ангел,"Фиттония Ред Ангел, воплощение яркой красоты! Ее поразительные листья демонстрируют завораживающее сочетание темно-красных прожилок на пышном зеленом фоне, создавая очаровательное визуальное зрелище. Это потрясающее растение хорошо растет при непрямом освещении от умеренного до яркого и любит постоянно влажную почву. , Независимо от того, используется ли он как отдельный центральный элемент или как часть очаровательной растительной композиции, Фиттония Ред Ангел добавляет смелую цветовую гамму и нотку элегантности в любое пространство.Украсьте свой внутренний сад этой очаровательной листвой и ощутите очарование артистизма природы.",699,fittoniya-red-angel,5,flowers_images/fittoniya_red_angel.png
38,Пахира Акватика,"Улучшите качество воздуха в вашем офисе или доме с помощью Пахиры Акватики. Это популярное дерево идеально подходит для выращивания в помещении. Его сильные листья являются естественным очистителем воздуха, придавая интерьеру свежесть и стиль. Не упустите возможность купить Пахиру Акватику прямо сейчас!",16599,pahira-akvatika,6,flowers_images/pahira_akvatika.png
39,Гардения Жасминовидная,"Гардения Жасминовидная штамб, широко известная как капский жасмин, — красивое цветущее растение, которое часто выращивают на стеблях для элегантного и драматичного эффекта. Глянцевые, темно-зеленые листья и ароматные восковые белые либо кремовые цветы Гардении делают ее популярным выбором для внутреннего и наружного украшения. При выращивании на стебле растение может достигать высоты до 120 см и имеет компактный густой рост, который можно легко приучить к желаемой форме или стилю. За гарденией относительно легко ухаживать, но для ее роста требуется постоянное количество влаги и влажности. При надлежащем уходе гардения жасминовидная на стебле может привнести нотку вневременной красоты в любой дом или сад.",2599,gardenia-gasminovidnaya,6,flowers_images/gardenia_gasminovidnaya.png
40,Цитрофортунелла Лимон,"Цитрофортунелла Лимон, широко известный как лимон, представляет собой небольшое вечнозеленое дерево семейства рутовых, производящее острые кислые плоды, которые являются популярным ингредиентом в кулинарии, выпечке и коктейлях. У дерева блестящие зеленые листья и ароматные белые цветы, которые распускаются весной и летом. Плод овальной формы, с ярко-желтой кожурой и сочной кислой мякотью, богатой витамином С. Лимонные деревья обычно выращивают в теплых субтропических регионах, а в более прохладном климате их можно выращивать в горшках или контейнерах. Им требуется регулярный полив и хорошо дренированная почва, и при правильных условиях они могут плодоносить круглый год. Помимо использования в кулинарии, лимоны имеют ряд преимуществ для здоровья и хорошего самочувствия и используются в традиционной медицине для лечения различных заболеваний.",10099,zitrofortunela-limon,6,flowers_images/zitrofortunela_limon.png
41,Гибискус Санни,"Гибискус Санни — яркое и эффектное цветущее растение с крупными ярко-желтыми цветами, которые выделяются на фоне темно-зеленой листвы. Цветки обычно имеют диаметр около 10-15 см и имеют гофрированную текстуру, что добавляет им визуальной привлекательности. Растение может вырасти до 150-180 см в высоту и ширину в правильных условиях, что делает его отличным вариантом для добавления яркого цвета и тропического колорита в сады или внутренние помещения. Он также привлекает опылителей, таких как пчелы и бабочки, что делает его полезным дополнением к любому ландшафту.",4199,gibiskus-sanni,6,flowers_images/gibiskus_sanni.png
42,Олива Европейская,Ищете идеальное растение для офиса или дома? Представляем вам Оливу Европейскую! Это высокое вечнозеленое дерево с кожистыми серебристо-серо-зелеными листьями и душистыми цветами. Все наши оливки тщательно отбираются с учетом всех требований к здоровью растений.,3299,oliva-evropeiskaya,6,flowers_images/oliva_evropeiskaya.png
43,Цереус Спиральный,"Цереус Спиральный, завораживающий и уникальный кактус, который добавит нотку интриги в вашу ботаническую коллекцию. Цереус Спиральный, также известный как кактус штопора, отличается характерным спиральным рисунком роста и удлиненными стеблями. Стебли извиваются и превращаются в пленительную спиралевидную форму, напоминая природное произведение искусства. Родом из засушливых регионов Южной Америки, этот кактус хорошо приспособлен к засушливой и солнечной среде, что делает его устойчивым и неприхотливым растением. Cereus Spiralis имеет шипы вдоль ребристых стеблей, что делает его еще более привлекательным. Помимо яркого внешнего вида, этот кактус производит красивые белые цветы, которые распускаются ночью, наполняя воздух нежным ароматом. Благодаря своим компактным размерам и медленным темпам роста Cereus Spiralis является идеальным выбором для небольших помещений или как часть суккулентной композиции. Он требует нечастого полива и предпочитает хорошо дренированную почву, чтобы предотвратить корневую гниль. Поместите его в солнечное место и наблюдайте, как он расцветает и добавляет нотку естественной элегантности в ваш дом или офис. Примите уникальность Cereus Spiralis и позвольте его завораживающим спиралям и изысканным цветам очаровывать ваши чувства. Являетесь ли вы энтузиастом кактусов или просто цените красоту необыкновенных растений, Cereus Spiralis обязательно оставит неизгладимое впечатление.",2099,zerus-spiralnyi,7,flowers_images/zerus_spiralnyi.png
44,Опунция Консолея,"Опунция Консолея , уникальный и привлекательный кактус, который идеально подходит для придания нотки пустынного стиля любому помещению или открытому пространству. Благодаря своим плоским веслообразным стеблям это растение создает скульптурный эффект, который является одновременно современным и естественным. Стебли насыщенного зеленого цвета с восковой текстурой, покрытые небольшими шипами, которые придают растению характер. Весной Opuntia Consolea производит прекрасные ярко-желтые цветы, которые распускаются по краям подушечек. За этим кактусом относительно легко ухаживать, так как он предпочитает хорошо дренированную почву и минимальный полив. Являетесь ли вы опытным коллекционером кактусов или новичком в выращивании растений, Опунция Консолея обязательно станет смелым и красивым дополнением к вашей коллекции.",5399,opuziya-konsoleya,7,flowers_images/opuziya_konsoleya.png
45,Агава Шака Зулу,"Агава Шака Зулу, очень ценна и востребована коллекционерами, достигает до 40 см в высоту и 50 см в диаметре. Для него характерны исключительно жесткие, толстые листья, образующие правильную жесткую розетку. Голубой цвет кожицы листовых пластин прекрасно контрастирует с пурпурными краями, имеющими зазубренный край. Кончики листьев заострены и также украшены фиолетовыми вставками. Растет медленно, как и другие агавы.",3999,agava-shaka-zulu,7,flowers_images/agava_shaka_zulu.png
46,Эхиноцереус Рубиспинус,"Эхиноцереус Рубиспинус, потрясающий кактус, который добавляет нотку пустынной красоты и очарования в любое пространство. Это необычное растение демонстрирует цилиндрические стебли, покрытые густыми шипами, демонстрирующие завораживающую смесь красноватых и зеленых оттенков. Выращенный в горшке для удобства, Echinocereus rubispinus процветает при минимальном уходе, что делает его отличным выбором для комнатных суккулентных коллекций. Наслаждайтесь поразительной красотой и устойчивостью этого сорта Echinocereus, поскольку он привносит нотку естественной элегантности и ощущение спокойствия пустыни в декор вашего дома или офиса.",1599,ehinosperius-rubispinus,7,flowers_images/ehinosperius_rubispinus.png
47,Фаленопсис Вайт Ворлд,"Фаленопсис Вайт Ворлд – вид орхидей, отличающийся крайней неприхотливостью. Имеет красивые цветы необычных оттенков, при хорошем уходе продолжительно цветет до двух раз в год. Листья большие, плотные, толстые, темно-зеленого цвета. Цветы возвышаются на цветоножках на высоте около 30 см над розеткой листьев.",2399,falenopsis-way-word,8,flowers_images/falenopsis_way_word.png
